Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2018:Q4,Millennial,3.2,5.9,10.3,15.2,1.3,2.4,5.1,4.5,6.4,23.4,20.4,34.5,7.1
2019:Q1,Silent,17.9,16.4,15.6,13.8,20.7,13,5.4,14.2,22,5.9,5.5,4.9,15.5
2019:Q1,BabyBoom,55.4,52.3,43.9,41,55.3,66.4,55.8,50.1,51.4,31.2,31.6,24.7,56.8
2019:Q1,GenX,23.2,25.2,29.6,29.4,22.2,18.1,33.3,30.9,20.1,38.8,41.7,35.2,21.4
2019:Q1,Millennial,3.6,6.1,10.8,15.9,1.9,2.5,5.5,4.8,6.5,24.1,21.2,35.2,6.3
2019:Q2,Silent,17.3,15.9,15.1,13.4,20,12.5,5.3,13.7,21.6,5.7,5.3,4.9,14.2
2019:Q2,BabyBoom,55.1,52.1,43.7,40.6,55.2,66.2,54.9,49.2,51.7,31,31.3,24.6,57.8
2019:Q2,GenX,23.9,25.7,30,29.7,22.9,18.6,34.1,31.8,20.3,38.8,41.8,34.8,21.6
2019:Q2,Millennial,3.7,6.3,11.2,16.2,1.9,2.7,5.7,5.3,6.3,24.5,21.6,35.7,6.3
2019:Q3,Silent,16.7,15.3,14.5,13.3,19.2,11.9,5.2,13,21.1,5.5,5.1,4.8,13.2
2019:Q3,BabyBoom,55,52,43.7,40.6,55.3,66,54.2,48.5,51.8,30.6,30.9,24.2,59.1
2019:Q3,GenX,24.6,26.4,30.5,30.1,23.6,19.2,34.7,33,20.7,38.7,41.8,34.5,21.8
2019:Q3,Millennial,3.7,6.4,11.2,16,1.8,2.9,5.9,5.5,6.3,25.1,22.2,36.5,5.9
2019:Q4,Silent,16.5,15.1,14.2,13.2,19.5,11.4,4.8,13.1,20.5,5.3,5,4.5,12.1
2019:Q4,BabyBoom,54.7,51.7,43.7,40.6,54.9,65.3,53.2,48.8,51.5,30.2,30.3,24.1,59.6
2019:Q4,GenX,24.7,26.4,30.5,30,23.1,20.1,35.5,32.4,21.1,38.6,41.7,34.6,21.9
2019:Q4,Millennial,4.1,6.8,11.7,16.2,2.5,3.2,6.5,5.7,6.9,25.9,23.1,36.9,6.3
2020:Q1,Silent,16.1,14.7,13.8,13.1,19,10.9,4.8,13.2,20,5,4.8,4.2,11
2020:Q1,BabyBoom,54.9,51.6,43.5,40.6,56.6,64.3,53.6,48.9,51.4,29.9,29.7,23.7,59.5
2020:Q1,GenX,24.7,26.5,30.5,29.9,22.6,21.2,35.2,31.7,21.2,38.5,41.5,34.6,22.2
2020:Q1,Millennial,4.3,7.2,12.1,16.4,1.9,3.6,6.5,6.1,7.4,26.5,23.9,37.4,7.4
2020:Q2,Silent,15.9,14.6,13.5,13,19.4,10.4,4.3,13.4,19.3,4.8,4.7,4,10.3
2020:Q2,BabyBoom,54.2,51.2,43.4,40.7,55.3,63.5,52.1,49.1,50.7,29.1,28.7,23.6,59.9
2020:Q2,GenX,24.9,26.6,30.5,29.8,22.3,22.1,36.3,31.1,21.8,38.5,41.3,34.7,22.5
2020:Q2,Millennial,4.9,7.7,12.6,16.6,3.1,4,7.2,6.4,8.1,27.5,25.3,37.6,7.3
2020:Q3,Silent,15.7,14.4,13.2,12.8,19.5,10,4,13.6,18.8,4.6,4.5,3.8,9.3
2020:Q3,BabyBoom,53.8,50.8,43.3,40.5,54.8,62.6,51.3,49.2,50.5,28.7,27.8,23.3,62.3
2020:Q3,GenX,25.1,26.7,30.5,29.6,22,23.1,37,30.2,22.1,38.3,41.2,34.8,20.7
2020:Q3,Millennial,5.4,8.1,12.9,17.1,3.7,4.3,7.8,7,8.6,28.4,26.5,38.1,7.7
2020:Q4,Silent,15.6,14.3,12.9,12.7,19.6,9.5,3.7,13.8,18.2,4.4,4.4,3.6,8.3
2020:Q4,BabyBoom,53.4,50.5,43.2,40.3,54.1,62,50.2,49.4,50.3,28.2,26.8,23.2,64.2
2020:Q4,GenX,25.2,26.7,30.6,29.5,21.9,23.9,37.8,29.4,22.4,38,41,34.9,19
2020:Q4,Millennial,5.8,8.5,13.3,17.6,4.4,4.6,8.3,7.5,9.1,29.4,27.9,38.4,8.4
2021:Q1,Silent,15.3,14.1,12.6,12.4,19.5,9.1,3.5,13.9,17.6,4.2,4.2,3.3,7.6
2021:Q1,BabyBoom,53,50.1,43.1,40.1,53.9,61.1,49.4,49.5,49.6,27.4,25.3,22.9,65.7
2021:Q1,GenX,25.4,26.8,30.5,29.3,21.7,24.8,38.3,28.7,23,37.7,40.7,35.1,17.9
2021:Q1,Millennial,6.3,9,13.8,18.2,4.9,4.9,8.8,7.9,9.9,30.6,29.7,38.8,8.9
2021:Q2,Silent,15.2,13.9,12.3,12.2,19.5,8.7,3.3,14.1,17.3,4,4.1,3.1,7
2021:Q2,BabyBoom,52.7,49.8,42.9,39.6,53.6,60.3,48.7,49.5,49.5,27,24.8,22.7,66.5
2021:Q2,GenX,25.5,26.8,30.4,29.1,21.6,25.7,38.8,27.7,23.1,37.7,40.6,35.1,17.4
2021:Q2,Millennial,6.7,9.4,14.3,19.1,5.3,5.3,9.2,8.7,10.1,31.3,30.5,39,9.1
2021:Q3,Silent,15,13.8,12.1,12,19.4,8.3,3.1,14.3,17,3.9,4,2.9,6.4
2021:Q3,BabyBoom,52.3,49.5,42.8,39.3,53.7,59.4,48.3,49.4,49.5,26.9,24.7,22.6,66.8
2021:Q3,GenX,25.5,26.8,30.4,29,21.4,26.6,39.1,26.9,23.1,37.6,40.6,35.1,17.2
2021:Q3,Millennial,7.2,9.9,14.8,19.7,5.6,5.6,9.5,9.3,10.4,31.5,30.7,39.4,9.6
2021:Q4,Silent,14.8,13.6,11.9,11.9,19.3,7.9,3,14.5,16.5,3.8,3.9,2.8,5.9
2021:Q4,BabyBoom,52.1,49.3,42.6,39.1,53.6,58.7,47.5,49.5,49.2,26.8,24.6,22.5,65.9
2021:Q4,GenX,25.6,26.9,30.4,28.8,21.3,27.5,39.6,26.2,23.4,37.6,40.5,35.2,17.8
2021:Q4,Millennial,7.6,10.2,15.1,20.2,5.9,5.9,9.9,9.8,10.9,31.8,31,39.5,10.3
2022:Q1,Silent,14.6,13.4,11.6,11.7,19.2,7.6,2.9,14.6,16.2,3.7,3.9,2.7,5.4
2022:Q1,BabyBoom,51.5,48.8,42.4,38.8,53.7,57.3,47.1,49.6,49.2,27.1,25,22.4,65.8
2022:Q1,GenX,25.6,26.9,30.1,28.7,21,28.6,39.9,25.6,23.4,37.6,40.5,35.2,18.1
2022:Q1,Millennial,8.3,10.9,15.9,20.8,6.1,6.5,10.2,10.3,11.2,31.6,30.7,39.7,10.7
2022:Q2,Silent,14.4,13.1,11.4,11.7,19.2,7.4,2.8,14.7,16.1,3.5,3.8,2.5,4.9
2022:Q2,BabyBoom,51.4,48.5,42.3,38.8,54.4,56,46.9,49.6,49.2,26.5,24.5,22.4,64.8
2022:Q2,GenX,25.6,27,30.1,28.6,20.2,29.6,40,25,23.4,37.7,40.4,35.3,19.3
2022:Q2,Millennial,8.7,11.5,16.2,20.9,6.2,7,10.4,10.8,11.3,32.2,31.3,39.8,11
2022:Q3,Silent,14.5,13.2,11.7,11.6,19.3,7.2,2.7,14.7,16.1,3.4,3.7,2.4,4.5
2022:Q3,BabyBoom,51.4,48.3,42,38.6,54.5,54.9,46.3,49.7,49.4,25.9,23.7,22.2,64.6
2022:Q3,GenX,25.5,26.9,30.1,28.6,19.8,30.5,40.3,24.6,23.3,37.7,40.3,35.4,19.6
2022:Q3,Millennial,8.7,11.6,16.1,21.2,6.4,7.4,10.7,11,11.2,33,32.4,40,11.3
2022:Q4,Silent,14.2,12.8,11.1,11.3,18.8,7.1,2.6,14.3,15.9,3.3,3.6,2.3,4.3
2022:Q4,BabyBoom,51.8,48.6,42.3,38.6,54.6,54.8,46.1,50,50.2,25.3,23.3,22,62.6
2022:Q4,GenX,25.4,26.9,30.2,28.5,20,30.6,40.3,24.7,22.9,37.6,40,35.2,21.4
2022:Q4,Millennial,8.6,11.7,16.4,21.6,6.6,7.6,10.9,10.9,11,33.8,33.1,40.5,11.6
2023:Q1,Silent,14,12.7,11,11.1,18.6,7,2.6,14.1,15.9,3.2,3.5,2.2,4.2
2023:Q1,BabyBoom,52,48.7,42.2,38.4,54.4,54.8,46,50,50.8,24.3,22,21.7,63.3
2023:Q1,GenX,25.5,26.9,30.2,28.5,20.3,30.5,40.4,24.9,22.6,37.4,39.6,35,21.1
2023:Q1,Millennial,8.5,11.7,16.7,22,6.8,7.7,11.1,11,10.7,35.1,34.9,41,11.3
2023:Q2,Silent,13.8,12.5,10.6,10.9,18.3,6.9,2.5,13.9,15.7,3.1,3.4,2.2,4.2
2023:Q2,BabyBoom,51.7,48.5,41.9,38.1,54.2,54.9,45.7,49.8,51,23.9,21.4,21.5,63.6
2023:Q2,GenX,25.5,26.9,29.9,28.5,20.6,30.5,40.5,24.9,22.6,37.2,39.4,34.9,20.8
2023:Q2,Millennial,9,12.1,17.6,22.5,7,7.8,11.3,11.3,10.7,35.9,35.8,41.4,11.4
2023:Q3,Silent,13.6,12.3,10.5,10.8,18.1,6.8,2.3,13.8,15.6,3.1,3.3,2.2,4.1
2023:Q3,BabyBoom,51.6,48.3,41.6,37.9,54.2,54.3,46.2,49.7,50.9,23.6,20.9,21.4,64
2023:Q3,GenX,25.6,26.9,29.8,28.5,20.5,30.8,40.1,25,22.7,37,39.2,34.7,20.2
2023:Q3,Millennial,9.2,12.4,18.1,22.9,7.1,8.1,11.3,11.5,10.7,36.4,36.5,41.7,11.7
2023:Q4,Silent,13.4,12.2,10.3,10.5,17.8,6.6,2.3,13.4,15.3,3,3.2,2.1,4.1
2023:Q4,BabyBoom,51.8,48.5,41.6,37.7,54,54.6,46,49.8,51.3,23.3,20.6,21.3,63.7
2023:Q4,GenX,25.7,27,29.8,28.5,20.9,30.7,40.2,25.2,22.6,36.8,39.1,34.6,20.4
2023:Q4,Millennial,9.2,12.4,18.3,23.3,7.3,8.1,11.5,11.5,10.7,36.9,37.1,42,11.8
